fault_type,phases,location_km,r_fault,fault_start,Vrms_a,Vrms_b,Vrms_c,Irms_a,Irms_b,Irms_c,Vrms_unbalance,Irms_unbalance,Vseq0,Vseq1,Vseq2,Iseq0,Iseq1,Iseq2,Vseq0_ratio,Vseq2_ratio,Iseq0_ratio,Iseq2_ratio,Vh2_energy,Ih2_energy,Vh3_energy,Ih3_energy,Vh5_energy,Ih5_energy,Vdwt_L1,Vdwt_L2,Vdwt_L3,Idwt_L1,Idwt_L2,Idwt_L3,Zmag_a,Zang_a,Zmag_b,Zang_b,Zmag_c,Zang_c
LG,B,88.8121877875851,0.779972601681013,0.0946398788362281,132061.81742976,117514.292319072,131498.920156455,252.591803658152,3259.37340736828,217.263679968155,0.114524888556901,2.44724296674229,160104.991431847,4578847.01249612,136055.604338034,45806.7828589221,48151.6997978683,46872.1231154156,0.0349662242470364,0.0297139441363066,0.951301471189159,0.973426136796882,282497.331917014,12133.9415537558,146024.911804237,8013.59131488545,77593.0787140311,4788.75036824471,64657045.146799,137536402.555352,2116952667.39422,1059.52652577679,2120.7596107069,8237.96777702849,520.962972362941,-0.213446412978993,30.5351718277945,1.39605814846756,602.479002417281,0.26760876204573
LG,B,140.787379302679,44.8637377474793,0.0804116898859161,123015.872435271,117341.37295261,122052.704372716,231.092223071523,1300.25762662315,236.908501997907,0.0469730438115416,1.81392962297781,73422.7268285779,4357655.51272231,98172.4942096053,13999.6483764981,19670.9359086852,14773.5690745098,0.0168491351861571,0.0225287414122032,0.711692033402703,0.75103539263914,272120.5625022,2274.03560104977,140503.459361988,1354.01590053923,73881.2901699715,775.4668365469,236718458.528579,529180113.040296,2057779632.07363,6667.82708163702,11090.0431675366,4085.63490819828,535.548519545725,-0.23220447300667,88.1385508639101,0.890039219526251,516.817345340805,0.184964369357853
LG,A,45.7720796277259,8.48734651630105,0.0886389003728423,105281.864371459,125292.015409948,125383.338134019,4599.4904166815,248.303267477706,260.336826988123,0.169414801139107,2.55544791024008,243508.521814997,4270065.39723274,227629.960743518,58553.8108830789,63061.4070069218,59513.1854279091,0.0570268834694542,0.0533083078519085,0.928520527233453,0.943733865951215,220746.875983297,30623.7659013752,105939.881798078,20649.3699713718,52393.2197547997,12488.3557288851,50197044.8145,370967649.171108,3104528553.01137,7343.24402740438,58579.2549181212,858604.573161021,21.1393195814209,1.10229475687354,492.937043081999,0.230318459607619,485.682595897251,-0.175083754898447
LG,B,76.9928213779056,6.16126031799994,0.0839934756431672,123182.822729824,108490.571976187,122103.846144622,322.875716126229,2918.60009023026,291.144172814527,0.124588998869906,2.23130928093856,157824.067809329,4251345.12139588,140929.765211494,39016.3955938527,45087.1757249093,40598.675225434,0.0371233252776881,0.0331494529818807,0.865354615047044,0.90044839961231,253392.670669373,15314.601268752,128406.244815372,10099.9210304017,67036.5295991231,6025.91400846188,124381673.892107,78906027.8410216,967133295.860028,2252.12484312504,1766.62733523101,8273.58371315368,383.915440811504,-0.101609726166348,31.8858857274833,1.20032180619042,415.098534082584,0.342517258687729
LG,A,118.175628736305,0.488360570031919,0.0993126406614912,115629.984059342,126000.488923718,125858.532709694,2684.72367969508,310.634923164917,357.747293484843,0.0846597152865174,2.12408032534317,113515.372887201,4417992.76278826,102864.779539473,35103.8319003309,38409.1243736764,36452.9211892075,0.0256938793207832,0.0232831480408605,0.91394512298425,0.949069310552712,268975.517459219,8892.78015698675,136151.207453284,5923.79843003999,69746.1294374232,3561.5437603621,67945318.7024672,317629732.102425,3015648378.04294,3235.79535928957,28819.7168654563,461857.09314783,38.6860501340239,1.54497958580566,404.311313189858,0.414464218643854,351.35014034637,-0.0787792080036946
LG,A,132.304856291029,3.31261142176991,0.0806877704223044,118150.478331764,127129.97680923,126702.802324778,2371.34569373438,256.281486757361,290.134506319758,0.0724185696305428,2.1746781593191,102416.54861158,4472827.89317886,112170.395636829,29286.9287639738,30325.6913707518,29865.2952773562,0.022897493723768,0.0250781828220724,0.965746449271537,0.984818282005455,278078.809130763,9011.45319531244,143869.639921049,6083.51832062839,75840.0643041507,3673.88385043356,91965767.5195925,475525980.010534,1508683277.14184,12556.6704375932,51387.9289622003,623497.764847783,48.227030934884,1.6087832684195,492.657392088014,0.340260372337186,436.428235167934,-0.167274248414601
LG,B,113.518595270556,92.6379145299354,0.0993916925552912,131814.327107381,128579.945737232,131595.590810117,286.251557248356,1244.41436094298,319.17478896258,0.024753558727017,1.55391131533953,61040.6761577233,4712418.75424407,91806.0300094846,11596.5603012055,21522.0680526929,12365.0780259188,0.0129531519461712,0.0194817215526068,0.538821839624081,0.574530198263037,291629.350269813,1548.11930629787,149500.697541876,847.029449549644,77625.8510190034,462.670606976002,128421678.330511,404897674.663437,4030261789.12199,3556.19640580426,4117.54810739721,24144.1993477664,460.740713293602,-0.0853756024743679,102.29253203658,0.547128784153921,413.597816708817,0.166390984164601
LG,A,50.546246306857,1.35674515886948,0.0809045457782108,104350.679908563,124703.185861262,124316.350323927,5374.82617799499,322.284731694404,368.147115769626,0.172786259500096,2.49908977784294,238560.517862192,4250599.94732122,256427.097521966,64834.2362636494,66674.3234494414,65960.0052861811,0.0561239638683193,0.0603272716086842,0.972401861892761,0.989286458005212,265915.710961606,19787.2372166172,138546.32794553,13466.7299375324,73716.8587337364,8172.41021954115,202905302.681634,160331847.05025,863314255.631171,20691.0932367642,291543.593633257,3673020.92795366,19.1030698905416,1.66279176983401,385.500119050657,0.399018026773771,337.870862090982,-0.0370306691711096
LG,A,117.307577305566,4.93443468300259,0.0828184844994952,113836.343001247,122024.014965094,122609.577232816,2189.37665922969,318.827340487158,358.003323954661,0.073422343438271,1.95786533095788,107616.592658409,4310666.33067062,143742.51297188,23232.9753491721,26477.0734253875,24129.1607373085,0.0249651873754845,0.033345775790882,0.87747520184832,0.911322801758784,271139.82169717,5412.77658336557,140207.156564693,3727.51939247199,73507.8322583048,2260.18772463194,328327042.645483,303990208.777465,48312413.9184834,16562.5184357646,89101.8914264341,869630.012694842,56.4979322913664,1.55814952785589,382.725976523531,0.410768560812813,340.983161442765,-0.0798934588262888
LG,A,107.061003525738,6.85111629335226,0.0941371468769523,112158.467838852,120926.009045284,122243.124314608,2038.08801102332,253.224390067806,282.544563216458,0.0851438765942894,2.08037623336458,117767.743147525,4271536.92630509,144928.102044867,22261.2457256365,25969.8584969433,23261.9727454442,0.0275703441593253,0.0339287953130717,0.857195495593458,0.895729668580458,265703.680258845,1071.40529485901,137640.277665833,717.195806093902,72793.3539441557,426.016180854419,465190420.086558,324304514.751201,922210318.187837,16938.4269396933,72126.098304058,621438.74111182,57.0208623279475,1.35446143773587,478.892501380851,0.325603884258777,431.513342577214,-0.159009330772042
